"data_extracao";"codigo";"nome";"telefone";"logradouro";"numero";"latitude";"longitude"
2020-03-10 01:58:32;25;SAPÉ X FRANCISCO TREIN;"3361 4088 ";R SAPE ;"525";-30,0179052628;-51,1585408853
2020-03-10 01:58:32;61;FERNANDES VIEIRA X VASCO DA GAMA;"3222-8931 ";R FERNANDES VIEIRA ;"261";-30,0316876867;-51,2109190968
2020-03-10 01:58:32;79;HOSPITAL MOINHOS DE VENTO;"3311-3588 ";R RAMIRO BARCELOS ;"919";-30,0270643003;-51,2092497261
2020-03-10 01:58:32;201;VASCO ALVES X WASHINGTON LUIZ; ;R GEN VASCO ALVES ;"490";-30,0356900016;-51,2375846614
2020-03-10 01:58:32;329;CARNEIRO DA FONTOURA X ASSIS BRASIL; ;AV CARNEIRO DA FONTOURA ;"28";-30,0113494849;-51,166284306
2020-03-10 01:58:32;120;SEBASTIÃO LEÃO EM FRENTE AO HOSPITAL PORTO ALEGRE;"3221-5595 ";R DR SEBASTIAO LEAO ;"99";-30,0449970696;-51,2172046782
2020-03-10 01:58:32;149;DIOMARIO MOOJEN X CAMPOS VELHO; ;R DIOMARIO MOOJEN ;"30";-30,0928153496;-51,2369095104
2020-03-10 01:58:32;83;KASTELÃO TERESÓPOLIS;"3336-2635 ";AV TERESOPOLIS ;"2888";-30,0789618305;-51,2088477491
2020-03-10 01:58:32;291;TEATRO DA OSPA; ;R GEN JOAO TELLES ;"10";-30,0295665404;-51,2118689399
2020-03-10 01:58:32;353;ITABORAI X BARÃO DO AMAZONAS; ;R ITABORAI ;"677";-30,0514601499;-51,1869688199
2020-03-10 01:58:32;396;SERGIO JUNGBLUT DIETRICH X SERTÓRIO; ;R SERGIO JUNGBLUT DIETERICH ;"10";-29,99746453;-51,142749211
2020-03-10 01:58:32;478;Jerônimo Zelmanovitz x Assis Brasil;"";R JERONYMO ZELMANOVITZ;"60";-30,028339;-51,228538
2020-03-10 01:58:32;145;BOURBON COUNTRY;"3328-0403 ";AV TULIO DE ROSE ;"80";-30,0227644225;-51,1622383657
2020-03-10 01:58:32;351;IRMÃO JOSÉ OTÃO X THOMAS FLORES; ;R IRMAO JOSE OTAO ;"190";-30,0306322987;-51,2165292363
2020-03-10 01:58:32;45;SARMENTO LEITE X LIMA E SILVA;"3221-8393 ";R SARMENTO LEITE ;"880";-30,0366755339;-51,2233221111
2020-03-10 01:58:32;59;PUC UNIVERSIDADE;"3339-1133 ";AV IPIRANGA ;"6681";-30,0581193785;-51,1764417714
2020-03-10 01:58:32;280;TANAUI DA S BOEIRA X JOÃO DE O REMIÃO;"33193030 ";R TANAUI DA SILVA BOEIRA ;"10";-30,1242202464;-51,1045047435
2020-03-10 01:58:32;434;VEADOR PORTO X IPIRANGA; ;R VEADOR PORTO ;"795";-30,0489676718;-51,1973814795
2020-03-10 01:58:32;305;ASSIS BRASIL X ITARARÉ; ;AV ASSIS BRASIL ;"2201";-30,0116440385;-51,1654399429
2020-03-10 01:58:32;412;VOLUNTARIOS DA PATRIA X POLONIA; ;R VOLUNTARIOS DA PATRIA ;"3223";-30,0062197154;-51,2084987117
2020-03-10 01:58:32;48;SANTA CECÍLIA X IPIRANGA (ZAFFARI);"3331-0649 ";R SANTA CECILIA ;"1143";-30,0456362752;-51,199131818
2020-03-10 01:58:32;380;OSCAR PEREIRA X PRAÇA DA SAUDADE; ;AV PROF OSCAR PEREIRA ;"400";-30,054845115;-51,21103217
2020-03-10 01:58:32;400;TEIXEIRA MENDES X NILO PEÇANHA; ;AV TEIXEIRA MENDES ;"1309";-30,028742554191911;-51,165829896926887
2020-03-10 01:58:32;420;INDEPENDÊNCIA; ;AV INDEPENDENCIA ;"813";-30,0294562711;-51,2130118032
2020-03-10 01:58:32;80;CAERGS;"3288-1200 ";AV BORGES DE MEDEIROS ;"1501";-30,0403835813;-51,2286300052
2020-03-10 01:58:32;101;ANITA GARIBALDI X FABIO N BARROS;"3328-1891 ";R ANITA GARIBALDI ;"1985";-30,0230650878;-51,1759996165
2020-03-10 01:58:32;123;ZAFFARI LIMA E SILVA;"4141-4158";R LUIZ AFONSO ;"143";-30,0385894555;-51,2204810626
2020-03-10 01:58:32;358;JOÃO ZANENGA X ASSIS BRASIL; ;R JOAO ZANENGA ;"11";-30,0102364565;-51,1554659234
2020-03-10 01:58:32;55;HOSPITAL NOSSA SENHORA DA CONCEIÇÃO;"3341-5688 ";AV FRANCISCO TREIN ;"557";-30,0162788698;-51,1592883763
2020-03-10 01:58:32;161;PRAÇA ALBERTO PASQUALINI; ;AV ALBERTO PASQUALINI ;"240";-30,0299716192;-51,1451694028
2020-03-10 01:58:32;436;BIG SHOPPING EDUARDO PRADO;"3250-6064 ";AV, EDUARDO PRADO 330 ;"1194";-30,1292088407;-51,2186510751
2020-03-10 01:58:32;30;TERMINAL ANTÔNIO DE CARVALHO;"3336-5841 ";AV ANTONIO CARVALHO ;"44";-30,0651433232;-51,1510585557
2020-03-10 01:58:32;132;FELIZARDO X FELIZARDO FURTADO;"3330-1192 ";R FELIZARDO FURTADO ;"649";-30,0492106232;-51,1836901627
2020-03-10 01:58:32;135;POSTO GLÓRIA;"3339-0456 ";AV PROF OSCAR PEREIRA ;"2728";-30,0742938432;-51,2023816461
2020-03-10 01:58:32;223;JOAO PESSOA X AVAI; ;AV JOÃO PESSOA ;"85";-30,0331740679;-51,2226742312
2020-03-10 01:58:32;417;DEMETRIO RIBEIRO X GEN BENTO MARTINS; ;R DEMETRIO RIBEIRO ;"551";-30,0357615422;-51,2337930451
2020-03-10 01:58:32;485;Polônia x Rio Grande;"";AV POLONIA;"255";-30,007534064540703;-51,206803321838386
2020-03-10 01:58:32;31;ASSIS BRASIL, 6464;"3364-1234 ";AV ASSIS BRASIL ;"6476";-29,9942750272;-51,1296169595
2020-03-10 01:58:32;237;BORGES DE MEDEIROS X PRAÇA MONTEVIDEO; ;AV BORGES DE MEDEIROS ;"262";-30,0286297516;-51,2280111914
2020-03-10 01:58:32;249;SR DOS PASSOS X VOLUNTARIOS DA PATRIA; ;R SENHOR DOS PASSOS ;"30";-30,0273408432;-51,2240002483
2020-03-10 01:58:32;86;BOTAFOGO X AZENHA;"3223-3555 ";R BOTAFOGO ;"1455";-30,0551625766;-51,2151384909
2020-03-10 01:58:32;310;AZENHA X IPIRANGA; ;AV DA AZENHA ;"366";-30,0470371724;-51,2137007741
2020-03-10 01:58:32;256;SENHOR DOS PASSOS X ANDRADAS; ;R SENHOR DOS PASSOS ;"259";-30,0294292164;-51,2233698737
2020-03-10 01:58:32;292;ANNES DIAS X PRAÇA DOM FELICIANO; ;R PROF ANNES DIAS ;"155";-30,0307737516;-51,2233989748
2020-03-10 01:58:32;369;MARCILIO DIAS X AZENHA; ;R MARCILIO DIAS ;"1565";-30,0504887375;-51,2133247036
2020-03-10 01:58:32;70;AUXILIADORA X 24 DE OUTUBRO;(51) 3337-2121;R AUXILIADORA ;"268";-30,0216750242;-51,1908998092
2020-03-10 01:58:32;355;JOÃO INACIO X CEARA; ;R DR JOAO INACIO ;"1366";-30,0031469695;-51,1923572202
2020-03-10 01:58:32;466;FRANCISCO RODOLFO SIMCH X JOAO LUDERIZT; ;AV ENG FRANCISCO RODOLFO SIMCH ;"117";-30,0067394171;-51,1349249928
2020-03-10 01:58:32;262;NOVOTEL;"3331-1600 ";AV SOLEDADE ;"555";-30,0327667661;-51,1791180687
2020-03-10 01:58:32;366;LUCAS DE OLIVEIRA X PEDRO IVO; ;AV CEL LUCAS DE OLIVEIRA ;"845";-30,0296985843;-51,194574214
2020-03-10 01:58:32;433;SETE DE SETEMBRO X TRAV ARAÚJO RIBEIRO; ;R SETE DE SETEMBRO ;"601";-30,0307242173;-51,2344320669
2020-03-10 01:58:32;213;BORGES DE MEDEIROS X DEMETRIO RIBEIRO; ;AV BORGES DE MEDEIROS ;"1057";-30,0360358147;-51,2281497077
2020-03-10 01:58:32;222;LUIZ AFONSO X JOSE DO PATROCINIO; ;R LUIZ AFONSO ;"395";-30,0400854558;-51,2228533531
2020-03-10 01:58:32;258;HOTEL PLAZA SÃO RAFAEL;"3227-8014 ";AV ALBERTO BINS ;"514";-30,0279962234;-51,221429719
2020-03-10 01:58:32;283;AUGUSTO SEVERO;"3362-1213 ";R AUGUSTO SEVERO ;"15";-30,0071925354;-51,1888682308
2020-03-10 01:58:32;27;ERNESTO DA FONTOURA X BENJAMIN CONSTANT;"3342-9714 ";R ERNESTO FONTOURA ;"1510";-30,0105097453;-51,1931397871
2020-03-10 01:58:32;69;TRT PRAIA DE BELAS;"3231-5195 ";R MARCILIO DIAS ;"200";-30,0490177845;-51,2277999022
2020-03-10 01:58:32;177;ERECHIM X NONOAI; ;R ERECHIM ;"782";-30,0889185568;-51,2172792059
2020-03-10 01:58:32;229;PRAÇA MARECHAL DEODORO(TEATRO SÃO PEDRO); ;R GEN CAMARA ;"521";-30,0318816963;-51,2301591655
2020-03-10 01:58:32;270;CABRAL;"3379-1744 ";R CABRAL ;"15";-30,0330834291;-51,2082258611
2020-03-10 01:58:32;372;MARILAND X AMERICA; ;AV MARILAND ;"431";-30,0185639228;-51,194276601
2020-03-10 01:58:32;393;SÃO MANOEL X LEOPOLDO BIER; ;R SAO MANOEL ;"1213";-30,0446832181;-51,2045637903
2020-03-10 01:58:32;17;BOURBON ASSIS BRASIL;"3343-5607 ";AV ASSIS BRASIL ;"200";-30,0081456533;-51,1839838658
2020-03-10 01:58:32;76;JERÔNIMO DE ORNELAS X JACINTO GOMES;"3223-2512 ";AV JERONIMO DE ORNELAS ;"601";-30,0403056612;-51,2093608916
2020-03-10 01:58:32;415;BERNARDINO AMORIM X SATURNINO VANDERLOTE; ;AV BERNARDINO SILVEIRA DE AMORIM ;"3450";-30,0057879624;-51,0968670217
2020-03-10 01:58:32;57;PRAÇA GUIA LOPES (TERESÓPOLIS - FIM DA LINHA);"3336-3342 "; ;"0";-30,0810677389;-51,2122310496
2020-03-10 01:58:32;224;SHOPPING NOVA OLARIA; ;R GEN LIMA E SILVA ;"776";-30,0392898507;-51,2201029874
2020-03-10 01:58:32;333;CINCO DE NOVEMBRO X SEPÉ TIARAJÚ; ;AV CINCO DE NOVEMBRO ;"30";-30,0755953029;-51,2144697526
2020-03-10 01:58:32;41;PRAIA DE BELAS SHOPPING;(51) 3231-4433;AV BORGES DE MEDEIROS ;"2700";-30,0511575476;-51,2297063116
2020-03-10 01:58:32;410;"24 DE OUTUBRO X MARILAND"; ;R VINTE QUATRO DE OUTUBRO ;"1427";-30,0222170379;-51,1943118242
2020-03-10 01:58:32;119;PANAMERICANA X CATAMARCA;"3344-4490 ";AV PANAMERICANA ;"104";-30,0095877974;-51,1512258427
2020-03-10 01:58:32;96;ÁLVARO ALVIM (HCPA);"3331-0524 ";RUA PROF. ÁLVARO ALVIM ;"436";-30,037377248;-51,197639456
2020-03-10 01:58:32;444;ASSIS BRASIL (FORO SARANDI); ;AV. ASSIS BRASIL ;"7625";-29,9868851255;-51,1210703242
2020-03-10 01:58:32;337;FARRAPOS X CONDE DE PORTO ALEGRE; ;AV FARRAPOS ;"1962";-30,0149305144;-51,205602394
2020-03-10 01:58:32;348;GIORDANO BRUNO X PROTÁSIO ALVES; ;R GIORDANO BRUNO ;"388";-30,0371754401;-51,2064625088
2020-03-10 01:58:32;208;ANDRADAS X JOÃO MANOEL; ;R GEN JOAO MANOEL;"290";-30,0312363579;-51,2334454318
2020-03-10 01:58:32;402;ANEXO Hospital Moinhos de Ventos; ;R TIRADENTES ;"333";-30,0244542034;-51,2081797932
2020-03-10 01:58:32;187;ORFANOTROFIO (UNIVERSIDADE UNIRITTER); ;R ORFANOTROFIO ;"570";-30,0806465035;-51,219339109
2020-03-10 01:58:32;209;SIQUEIRA CAMPOS X JOÃO MANOEL; ;R SIQUEIRA CAMPOS ;"735";-30,0297397162;-51,2343762062
2020-03-10 01:58:32;232;CAPITÃO MONTANHA X SIQUEIRA CAMPOS; ;R CAPITÃO MONTANHA ;"37";-30,0285548663;-51,2323768018
2020-03-10 01:58:32;6;BARRA SHOPPING SUL;"3266-6514 ";AV DIARIO DE NOTICIAS ;"0";-30,081204099;-51,2463835105
2020-03-10 01:58:32;65;HOSPITAL MÃE DE DEUS;"3233-9531 ";R JOSE DE ALENCAR ;"286";-30,0596250717;-51,2288276307
2020-03-10 01:58:32;251;JUSTIÇA FEDERAL (ANEXO); ;R OTAVIO FRANCISCO CARUSO DA ROCHA ;"600";-30,040100694;-51,2347779582
2020-03-10 01:58:32;166;CEL MASSOT X CEL ARISTIDES; ;R CEL MASSOT ;"400";-30,100266537;-51,2446697624
2020-03-10 01:58:32;269;HOSPITAL SANTA CASA (ÁREA INTERNA);"32125526 ";AV INDEPENDENCIA ;"155";-30,0295591178;-51,2199269354
2020-03-10 01:58:32;335;FARIA SANTOS X ARTIGAS; ;R FARIA SANTOS ;"589";-30,048089371;-51,1912256667
2020-03-10 01:58:32;21;JOÃO PESSOA (CENTRO COMERCIAL);"3223-7447 ";AV JOAO PESSOA ;"1788";-30,0453620161;-51,2130763226
2020-03-10 01:58:32;131;BEZERRA DE MENEZES X ASSIS BRASIL;"3361-3372 ";R BEZERRA DE MENEZES;"102";-30,0117254011;-51,1691039582
2020-03-10 01:58:32;452;MARQUÊS DO HERVAL X QUINTINO BOCAIÚVA; ;R. MARQUÊS DO HERVAL ;"540";-30,0212130601;-51,1988627787
2020-03-10 01:58:32;97;OSCAR BITTENCOURT X JOSÉ DE ALENCAR;"3233-2297 ";R DR OSCAR BITTENCOURT ;"203";-30,0600892524;-51,2247579903
2020-03-10 01:58:32;253;HOTEL TULIP INN;"3221-5477 ";AV ALBERTO BINS ;"308";-30,0281323062;-51,2236381621
2020-03-10 01:58:32;405;VENANCIO AIRES X AUGUSTO PESTANA; ;AV VENANCIO AIRES ;"1355";-30,0368434381;-51,2089393402
2020-03-10 01:58:32;374;MONTEIRO LOBATO X SÃO MANOEL; ;R MONTEIRO LOBATO ;"236";-30,0539133311;-51,1970085028
2020-03-10 01:58:32;482;PADRE CACIQUE(BEIRA RIO);"";AV PADRE CACIQUE;"891";-30,028339;-51,228538
2020-03-10 01:58:32;357;JERONIMO DE ORNELAS X SANTANA; ;AV JERONIMO DE ORNELAS ;"287";-30,0418923309;-51,2118505782
2020-03-10 01:58:32;375;MOURA AZEVEDO X PRES FRANKLIN ROOSEVELT; ;R MOURA AZEVEDO ;"517";-30,0113193178;-51,2044839555
2020-03-10 01:58:32;20;SILVA JARDIM X ANITA GARIBALDI;"3331-2612 ";R SILVA JARDIM ;"581";-30,0271925958;-51,1900590844
2020-03-10 01:58:32;230;GEN CAMARA X GEN ANDRADE NEVES; ;R GEN CAMARA ;"376";-30,0307333795;-51,2299482463
2020-03-10 01:58:32;284;TRIBUNAL DE JUSTIÇA ESTADUAL;"32110505 ";AV BORGES DE MEDEIROS ;"1565";-30,0429462274;-51,2288748483
2020-03-10 01:58:32;35;GENERAL PORTINHO X ANDRADAS;"3228-7541 ";R GEN PORTINHO ;"199";-30,0325891779;-51,2374128967
2020-03-10 01:58:32;345;FRANCISCO TREIN X PR SADY CONCEIÇÃO; ;AV FRANCISCO TREIN ;"596";-30,0163175751;-51,1591580082
2020-03-10 01:58:32;94;JARDIM PLANALTO;"3347-2590 ";R VITORIO FRANCISCO GIORDANI ;"300";-30,0109216549;-51,1356638023
2020-03-10 01:58:32;362;MIN DE OLIVEIRA LIMA X PRESIDENTE JUAREZ; ;R MINISTRO OLIVEIRA LIMA ;"21";-30,0039072043;-51,1464644309
2020-03-10 01:58:32;403;TITO ZAMBECARI X LUCAS DE OLIVEIRA; ;R TITO LIVIO ZAMBECARI ;"167";-30,0287345089;-51,1944848974
2020-03-10 01:58:32;128;CUNHA LOUZADA X OSCAR PEREIRA;"3339-6812 ";R GEN CUNHA LOUZADA ;"10";-30,0693738302;-51,2047192045
2020-03-10 01:58:32;299;ABILIO AZAMBUJA X SÃO BENEDITO, PROF.; ;R PROF ABILIO AZAMBUJA ;"555";-30,0480298295;-51,1665928151
2020-03-10 01:58:32;450;MONTE CRISTO X EDUARDO PRADO; ;AV. MONTE CRISTO ;"1194";-30,1233065292;-51,2215000667
2020-03-10 01:58:32;102;SHOPPING CENTER IGUATEMI;"3334-5545 ";AV JOAO WALLIG ;"1800";-30,0254487549;-51,1632092798
2020-03-10 01:58:32;220;ZERO HORA; ;R ZERO HORA ;"5";-30,0483490435;-51,2173629363
2020-03-10 01:58:32;243;MAL FLORIANO PEIXOTO X ANDRADAS; ;R MARECHAL FLORIANO PEIXOTO ;"91";-30,0297707826;-51,2268745411
2020-03-10 01:58:32;294;COMENDADOR MANOEL PEREIRA X CEL VICENTE; ;R COMENDADOR MANOEL PEREIRA ;"72";-30,0259510707;-51,221739483
2020-03-10 01:58:32;13;CARAZINHO X PROTÁSIO ALVES;"3334-3123 ";AV PROTASIO ALVES ;"2657";-30,0434048632;-51,1825890265
2020-03-10 01:58:32;44;CORONEL BORDINI X 24 DE OUTUBRO;"3342-5319 ";R CEL BORDINI ;"509";-30,0225184336;-51,1970087102
2020-03-10 01:58:32;328;CARLOS S. MARTINS PACHECO X ASSIS BRASIL; ;R CARLOS SILVEIRA MARTINS PACHECO ;"114";-30,0107462656;-51,1594275372
2020-03-10 01:58:32;12;CASTRO DE MENEZES X WENCESLAU ESCOBAR;"3264-6299 ";R DR CASTRO DE MENEZES ;"700";-30,1017355826;-51,2489716606
2020-03-10 01:58:32;324;CONCEIÇÃO X PASSARELA DA RODOVIARIA; ;R DA CONCEICAO ;"127";-30,0242616779;-51,2195520291
2020-03-10 01:58:32;321;CARLOS P. DE BRUM X FERNANDO M. RIBEIRO; ;R CARLOS PESSOA DE BRUM ;"150";-30,0571673001;-51,2066901781
2020-03-10 01:58:32;73;CAVALHADA/OTTO;"3249-2193 ";R AFONSO ARINOS ;"1016";-30,1018376628;-51,2318162206
2020-03-10 01:58:32;252;SANTA MARIA X BENTO GONÇALVES; ;R SANTA MARIA ;"27";-30,0620591869;-51,1677756839
2020-03-10 01:58:32;451;FRANCISCO PETUCO X PLINIO BRASIL MILANO; ;AV FRANCISCO PETUCO ;"45";-30,019498085;-51,1755871041
2020-03-10 01:58:32;365;GAL. LIMA E SILVA X LUIZ AFONSO; ;R GEN LIMA E SILVA ;"606";-30,0383426528;-51,2213245017
2020-03-10 01:58:32;377;NEUSA GOULART BRIZOLA X VICENTE DA FONT.; ;AV NEUSA GOULART BRIZOLA ;"2629";-30,0397772114;-51,1974061333
2020-03-10 01:58:32;477;Vigário José Inácio x Gal. Vitorino;"";R VIGARIO JOSE IGNACIO;"535";-30,028339;-51,228538
2020-03-10 01:58:32;247;ANNES DIAS X INDEPENDENCIA; ;R PROF ANNES DIAS ;"285";-30,0297335854;-51,2218831698
2020-03-10 01:58:32;108;DIVINO;"3321-4545 ";AV JOSE BONIFACIO ;"753";-30,0364202709;-51,210343237
2020-03-10 01:58:32;424;GENL LIMA E SILVA X LOUREIRO DA SILVA; ;R GEN LIMA E SILVA ;"200";-30,0357665406;-51,2246919917
2020-03-10 01:58:32;8;HOSPITAL DA PUC;"3336-5921 ";AV IPIRANGA ;"6690";-30,0574714259;-51,1764059882
2020-03-10 01:58:32;62;JOSÉ INÁCIO DA SILVA C/ BRASILIANO ÍNDIO DE MORAIS;"3341-8280 ";R MARECHAL JOSE INACIO DA SILVA ;"17";-30,0092052279;-51,1790162705
2020-03-10 01:58:32;141;DEZESSETE DE JUNHO X GETÚLIO VARGAS;"3227-9786 ";R DEZESSETE DE JUNHO ;"755";-30,047500788;-51,2216565951
2020-03-10 01:58:32;91;CENTRO CLÍNICO MÃE DE DEUS;"3231-9591 ";R COSTA ;"30";-30,0583471138;-51,2295361023
2020-03-10 01:58:32;116;VALPARAÍSO X BARÃO DO AMAZONAS;"3336-2748 ";R VALPARAISO ;"539";-30,0534279133;-51,1888112392
2020-03-10 01:58:32;204;VASCO ALVES X DUQUE DE CAXIAS; ;R GEN VASCO ALVES ;"339";-30,0344436665;-51,2382044412
2020-03-10 01:58:32;455;DOM PEDRO X AMÉRICO VESPÚCIO; ;R DOM PEDRO II ;"592";-30,012385296;-51,1881316188
2020-03-10 01:58:32;471;Gomes Jardim x Leopoldo Bier;"";R GOMES JARDIM;"253";-30,028339;-51,228538
2020-03-10 01:58:32;389;RAMIRO BARCELOS X MOSTARDEIROS; ;R RAMIRO BARCELOS ;"1101";-30,0286328428;-51,2086424071
2020-03-10 01:58:32;388;PRAIA DE BELAS X COSTA; ;AV PRAIA DE BELAS ;"2254";-30,0583754563;-51,2298689242
2020-03-10 01:58:32;52;JOÃO ABOTT X PROTÁSIO ALVES;"3331-1212 ";R JOAO ABBOTT ;"12";-30,042774178;-51,1895972821
2020-03-10 01:58:32;134;PRAÇA JULIO DE CASTILHOS;"3222-5845 ";PRAÇA JÚLIO DE CASTILHOS ;"19";-30,0289141441;-51,2083508114
2020-03-10 01:58:32;114;HOSPITAL BANCO DE OLHOS;"3344-5513 ";R ENG WALTER BOEHL ;"285";-30,0220740837;-51,1538572586
2020-03-10 01:58:32;334;ENIO AVELINI DA ROCHA X EDUARDO PRADO; ;R ENIO AVELINE DA ROCHA ;"8";-30,1305051814;-51,2181125881
2020-03-10 01:58:32;394;SÃO SIMÃO X PROTASIO ALVES; ;R SAO SIMAO ;"49";-30,0414867815;-51,1694153172
